172.71.134.240 - - [10/Jan/2025:13:13:40 +0000] "GET / HTTP/1.1" 499 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
172.71.134.241 - - [10/Jan/2025:13:13:40 +0000] "GET / HTTP/1.1" 500 263654 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
141.101.69.36 - - [10/Jan/2025:13:13:41 +0000] "GET /favicon.ico HTTP/1.1" 200 15086 "https://cake.furosha.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
141.101.95.12 - - [10/Jan/2025:13:14:01 +0000] "GET / HTTP/1.1" 500 259257 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_1_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1.1 Mobile/15E148 Safari/604.1"
172.71.118.192 - - [10/Jan/2025:13:16:25 +0000] "GET / HTTP/1.1" 500 259179 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1 Mobile/15E148 Safari/604.1"
172.71.134.240 - - [10/Jan/2025:13:16:46 +0000] "GET / HTTP/1.1" 500 264430 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
141.101.95.12 - - [10/Jan/2025:13:16:47 +0000] "GET / HTTP/1.1" 500 264427 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
141.101.95.12 - - [10/Jan/2025:13:16:48 +0000] "GET / HTTP/1.1" 500 264575 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
172.71.134.60 - - [10/Jan/2025:13:16:56 +0000] "GET / HTTP/1.1" 500 263547 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
172.71.134.60 - - [10/Jan/2025:13:16:56 +0000] "GET /favicon.ico HTTP/1.1" 200 15086 "https://cake.furosha.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
172.71.134.240 - - [10/Jan/2025:13:18:28 +0000] "GET / HTTP/1.1" 200 7954 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
172.71.127.25 - - [10/Jan/2025:13:18:28 +0000] "GET /css/normalize.min.css HTTP/1.1" 200 2057 "https://cake.furosha.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
172.71.127.26 - - [10/Jan/2025:13:18:28 +0000] "GET /css/milligram.min.css HTTP/1.1" 200 9077 "https://cake.furosha.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
172.71.127.25 - - [10/Jan/2025:13:18:28 +0000] "GET /css/fonts.css HTTP/1.1" 200 2896 "https://cake.furosha.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
172.71.127.25 - - [10/Jan/2025:13:18:28 +0000] "GET /css/cake.css HTTP/1.1" 200 6020 "https://cake.furosha.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
172.71.127.26 - - [10/Jan/2025:13:18:28 +0000] "GET /css/home.css HTTP/1.1" 200 1523 "https://cake.furosha.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
172.71.127.25 - - [10/Jan/2025:13:18:28 +0000] "GET /debug_kit/js/inject-iframe.js?1735584497 HTTP/1.1" 200 3759 "https://cake.furosha.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
172.71.127.25 - - [10/Jan/2025:13:18:28 +0000] "GET /font/raleway-700-latin.woff2 HTTP/1.1" 200 41852 "https://cake.furosha.com/css/fonts.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0"
